name,year,num_parts
World Map,2021,11695
Eiffel Tower,2022,10001
Battle for Chima,2015,9987
Titanic,2021,9092
Colosseum,2020,9036
Millennium Falcon,2017,7541
AT-AT,2021,6785
The Razor Crest,2022,6194
Lord of the Rings: Rivendell,2023,6182
NINJAGO City Markets,2023,6163
Hogwarts Castle,2018,6020
Taj Mahal,2017,5923
Taj Mahal,2008,5922
Real Madrid – Santiago Bernabéu Stadium,2022,5876
NINJAGO City Gardens,2021,5709
Diagon Alley,2020,5548
Camp Nou - FC Barcelona,2021,5509
Star Wars / M&M Mosaic - Promo Set,2005,5462
Window Exploration Bag,2010,5200
Millennium Falcon,2007,5198
Hogwarts Express - Collectors' Edition,2022,5147
NINJAGO City,2017,4873
Disney Castle,2023,4837
Imperial Star Destroyer,2019,4784
Firehouse Headquarters,2016,4642
Lion Knights' Castle,2022,4515
Personalised Mosaic Portrait,2016,4502
Tower Bridge,2010,4295
Harry Potter Hogwarts Crests,2021,4249
Jim Lee Batman Collection,2022,4167
Big Ben,2016,4167
Art Project - Create Together,2021,4138
Roller Coaster,2018,4124
Liebherr R 9800 Excavator,2019,4108
Disney Castle,2016,4081
Studgate Train Station,2023,4074
Rough Terrain Crane,2018,4056
Hulkbuster,2022,4049
Death Star,2016,4024
Assembly Square,2017,4002
Batcave Shadowbox,2023,3989
Home Alone,2021,3955
Bucket Wheel Excavator,2016,3929
Old Trafford - Manchester United,2020,3898
Mountain View Observatory,2023,3876
Cat D11 Bulldozer,2021,3854
Death Star,2008,3809
Daily Bugle,2021,3803
Ferrari Daytona SP3,2022,3778
Loop Coaster,2022,3756
Lamborghini Sián FKP 37,2020,3696
Grand Piano,2020,3662
Bugatti Chiron,2018,3599
NINJAGO City Docks,2018,3555
Venetian Houses,2022,3462
Death Star II,2005,3461
The Joker Manor,2017,3445
Elvis Presley – The King,2022,3445
Eiffel Tower 1:300,2007,3428
The Sith,2020,3406
Modular Construction Site,2023,3374
Andy Warhol's Marilyn Monroe,2020,3341
1989 Batmobile,2019,3310
Sandcrawler,2014,3296
Republic Gunship,2021,3292
Grand Carousel,2009,3261
Haunted House,2020,3232
Mos Eisley Cantina,2020,3187
Welcome to Apocalypseburg!,2019,3178
Marvel Studios Iron Man,2020,3167
Super Star Destroyer,2011,3152
Jurassic Park: T. rex Rampage,2019,3120
Imperial Star Destroyer,2002,3116
Boutique Hotel,2022,3068
Tree House,2019,3037
Hogwarts Icons Collectors' Edition,2021,3012
The SHIELD Helicarrier,2015,2996
Sydney Opera House,2013,2989
Black Panther,2022,2961
The Beatles,2020,2933
Disney Train and Station,2019,2927
Police Station,2021,2924
Jazz Club,2023,2900
Statue of Liberty,2000,2899
Floral Art,2022,2870
The Mountain Cave,2017,2863
Identity and Landscape Kit,2013,2854
Lego Mosaic Dino,2003,2847
Betrayal at Cloud City,2018,2812
Identity and Landscape Kit,2022,2810
The Mighty Bowser,2022,2807
Retro Bowling Alley,2022,2795
Mercedes-Benz Arocs 3245,2015,2793
Skyline,2005,2792
Town Hall,2012,2772
MetalBeard's Sea Cow,2014,2743
Sanctum Sanctorum,2022,2713
Winter Chalet,2023,2708
Porsche 911 GT3 RS,2016,2704
Carousel,2017,2670
Disney's Mickey Mouse,2021,2658
PAC-MAN Arcade,2023,2651
Nintendo Entertainment System,2020,2646
Mobile Crane MK II,2013,2607
Mack Anthem,2018,2595
The Globe,2022,2585
Land Rover Defender,2019,2573
Corner Garage,2019,2569
The Simpsons House,2014,2547
Pirates of Barracuda Bay,2020,2546
Bonus Lego Basic Town,1996,2542
Atari 2600,2022,2532
Batman Classic TV Series - Batcave,2016,2526
Eldorado Fortress,2023,2511
Bookshop,2020,2504
Imperial Shuttle,2010,2503
Car Transporter,2019,2493
Downtown Diner,2018,2480
Parisian Restaurant,2014,2470
Ferris Wheel,2015,2464
